month_start,month_end,active_anchor_date,chosen_strategy_key,strategy_params,source_total_return,prediction_scale
2021-01-01,2021-01-31,2020-12-31,adaptive_band,"{'ma_window': 10.0, 'upper_k': 0.3000000000000029, 'lower_k': -1.3999999999999986}",0.4758070027058969,1.0
2021-02-01,2021-02-28,2021-01-29,adaptive_band,"{'ma_window': 22.0, 'upper_k': 0.2000000000000028, 'lower_k': -1.799999999999999}",0.4951217847599569,1.0
2021-03-01,2021-03-31,2021-02-26,adaptive_band,"{'ma_window': 10.0, 'upper_k': 0.3000000000000029, 'lower_k': -1.3999999999999986}",0.4111138484297187,0.9051263412477266
2021-04-01,2021-04-30,2021-03-31,adaptive_band,"{'ma_window': 5.0, 'upper_k': -1.1999999999999984, 'lower_k': -1.1999999999999984}",0.2799402124990378,1.0
2021-05-01,2021-05-31,2021-04-30,adaptive_band,"{'ma_window': 5.0, 'upper_k': -1.1999999999999984, 'lower_k': -1.0999999999999983}",0.2746624182731818,1.0
2021-06-01,2021-06-30,2021-05-28,adaptive_band,"{'ma_window': 5.0, 'upper_k': 1.400000000000004, 'lower_k': 0.9000000000000035}",0.261503337150013,1.0
2021-07-01,2021-07-31,2021-06-30,adaptive_band,"{'ma_window': 10.0, 'upper_k': 0.3000000000000029, 'lower_k': -1.3999999999999986}",0.2459189592709536,1.0
2021-08-01,2021-08-31,2021-07-30,adaptive_band,"{'ma_window': 5.0, 'upper_k': 1.600000000000004, 'lower_k': 0.9000000000000035}",0.1627011340099973,1.0
2021-09-01,2021-09-30,2021-08-31,adaptive_band,"{'ma_window': 130.0, 'upper_k': 0.400000000000003, 'lower_k': 0.7000000000000033}",0.1966924223561763,1.0
2021-10-01,2021-10-31,2021-09-30,adaptive_band,"{'ma_window': 10.0, 'upper_k': 2.2000000000000046, 'lower_k': 2.400000000000005}",0.1863616201389908,0.12775955040650389
2021-11-01,2021-11-30,2021-10-29,adaptive_band,"{'ma_window': 10.0, 'upper_k': 2.2000000000000046, 'lower_k': 2.400000000000005}",0.1422613685840508,0.9685243986923107
2021-12-01,2021-12-31,2021-11-30,adaptive_band,"{'ma_window': 65.0, 'upper_k': -0.0999999999999974, 'lower_k': 0.6000000000000032}",0.1801193367159848,0.9643348098280777
